Team,Player  ,Pos. ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,FANTASY_POINTS
BRIS,"Cockatoo, Nakia",MID,0.818181818,0.227272727,1.090909091,0.227272727,0.045454545,0,1,0.181818182,0.181818182,
BRIS,"Berry, Tom",MID,0.636363636,0.272727273,1.045454545,0.090909091,0.045454545,0,0.909090909,0.090909091,0.227272727,
CARL,"Walsh, Sam",MID,13.54545455,5.772727273,16.27272727,0.545454545,0.272727273,0,4.545454545,1.090909091,1.454545455,
CARL,"Curnow, Ed",MID,14.45454545,4.818181818,8.090909091,0.454545455,0.136363636,0,3.636363636,0.590909091,1.045454545,
CARL,"Cripps, Patrick",MID,7.409090909,2.863636364,13.86363636,0.590909091,0.5,0.136363636,3.863636364,2.136363636,2,
CARL,"Saad, Adam",DEF,14.13636364,3.272727273,5.136363636,0.090909091,0.272727273,0,1.772727273,0.681818182,0.454545455,
CARL,"Weitering, Jacob",DEF,13.68181818,7.590909091,2.727272727,0,0.045454545,0.090909091,1.318181818,0.818181818,0.636363636,
CARL,"Docherty, Sam",DEF,11.45454545,4.863636364,4,0,0,0,1.409090909,0.727272727,0.181818182,
CARL,"Newnes, Jack",MID,8.545454545,4.227272727,5.636363636,0.181818182,0.409090909,0,1.545454545,0.909090909,0.545454545,
CARL,"Newman, Nic",DEF,9.045454545,3.909090909,3.454545455,0,0.045454545,0,2.454545455,0.818181818,0.5,
CARL,"Williams, Zac",DEF,9.136363636,2.5,2.863636364,0.227272727,0.181818182,0,1.181818182,0.5,0.636363636,
CARL,"Fogarty, Lachie",FWD,6.318181818,2.590909091,4.863636364,0.272727273,0.272727273,0,2.818181818,0.727272727,0.5,
CARL,"Dow, Paddy",MID,4.318181818,1.272727273,6.681818182,0.181818182,0.090909091,0,1.772727273,0.409090909,0.590909091,
CARL,"Kennedy, Matthew",MID,6.272727273,2.727272727,4.590909091,0.272727273,0.090909091,0,2.454545455,0.5,0.454545455,
CARL,"Stocker, Liam",DEF,7.409090909,2.636363636,3.409090909,0.090909091,0.045454545,0,1.681818182,0.681818182,0.454545455,
CARL,"Plowman, Lachie",DEF,7.272727273,3.863636364,2.681818182,0.045454545,0,0,0.909090909,0.636363636,0.590909091,
CARL,"Silvagni, Jack",FWD,5.909090909,3.181818182,3.181818182,0.409090909,0.590909091,0.772727273,1.727272727,0.636363636,0.545454545,
CARL,"Petrevski-Seton, Sam",DEF,6.090909091,2.545454545,2.909090909,0.045454545,0.136363636,0,1.181818182,0.318181818,0.318181818,
CARL,"McKay, Harry",FWD,7,5.136363636,1.409090909,2.636363636,1.5,0.272727273,1.227272727,1.227272727,0.818181818,
CARL,"Cottrell, Matthew",FWD,5.363636364,1.681818182,2.136363636,0.136363636,0.090909091,0,1.409090909,0.227272727,0.409090909,
CARL,"Fisher, Zac",FWD,3.863636364,1.045454545,3.363636364,0.181818182,0.363636364,0,1.090909091,0.227272727,0.409090909,
CARL,"Gibbons, Michael",FWD,4.454545455,1.772727273,2.636363636,0.363636364,0.227272727,0,1.227272727,0.272727273,0.272727273,
CARL,"Pittonet, Marc",RUC,3.045454545,1.181818182,3.636363636,0.227272727,0.227272727,17.22727273,1.272727273,0.772727273,1.090909091,
CARL,"Martin, Jack",FWD,4.272727273,2.772727273,2.090909091,0.363636364,0.272727273,0,1.181818182,0.409090909,0.5,
CARL,"Setterfield, Will",MID,3.363636364,1.590909091,2.272727273,0.045454545,0.272727273,0,0.772727273,0.272727273,0.454545455,
CARL,"Williamson, Tom",DEF,3.772727273,1.954545455,1.863636364,0.090909091,0.136363636,0,0.727272727,0.090909091,0.363636364,
CARL,"De Koning, Tom",RUC,3.681818182,1.818181818,1.909090909,0.318181818,0.181818182,9.954545455,1.227272727,0.727272727,0.681818182,
CARL,"Owies, Matthew",FWD,3.136363636,1.954545455,2.090909091,0.681818182,0.772727273,0,1.727272727,0.454545455,0.318181818,
CARL,"Casboult, Levi",FWD,3.5,2.136363636,1.545454545,0.363636364,0.227272727,3.590909091,1.136363636,0.5,0.772727273,
CARL,"OBrien, Lochie",MID,2.227272727,0.909090909,1.409090909,0.045454545,0.136363636,0,0.409090909,0.181818182,0.045454545,
CARL,"McGovern, Mitch",FWD,1.909090909,1.090909091,0.636363636,0.272727273,0.181818182,0,0.590909091,0.318181818,0,
CARL,"Cuningham, David",MID,1.181818182,0.409090909,1.272727273,0.136363636,0.090909091,0,0.272727273,0.090909091,0.136363636,
CARL,"Curnow, Charlie",FWD,1.590909091,0.727272727,0.636363636,0.090909091,0.227272727,0,0.272727273,0.045454545,0.318181818,
CARL,"Parks, Luke",DEF,1.363636364,0.545454545,0.681818182,0,0,0,0.545454545,0.227272727,0.227272727,
CARL,"Honey, Josh",FWD,1.090909091,0.590909091,0.545454545,0.272727273,0.136363636,0,0.272727273,0.090909091,0.045454545,
CARL,"Kemp, Brodie",FWD,0.636363636,0.363636364,0.227272727,0,0,0,0.136363636,0,0.045454545,
CARL,"McDonald, Oscar",FWD,0.363636364,0.136363636,0.045454545,0.090909091,0.045454545,0,0.090909091,0.136363636,0.045454545,
COLL,"Crisp, Jack",DEF,15.5,6.727272727,11.5,0.090909091,0.227272727,0,3.636363636,0.727272727,1.318181818,
COLL,"Sidebottom, Steele",FWD,12.36363636,5.181818182,10.36363636,0.363636364,0.227272727,0,2.818181818,0.636363636,1.090909091,
COLL,"Maynard, Brayden",DEF,15.22727273,5.5,5.727272727,0.045454545,0,0,2.590909091,0.727272727,1.181818182,
COLL,"de Goey, Jordan",FWD,11.40909091,4.909090909,7.681818182,1.045454545,1.045454545,0,1.772727273,0.545454545,0.818181818,
COLL,"Pendlebury, Scott",MID,8.954545455,3.045454545,10,0.181818182,0.181818182,0,3.136363636,0.590909091,0.454545455,
