PLAYER,K,H,M,T,FF,FA,HO,G,B,GA,D,ED,IED,I50,R50,CL,SP,CP,UCP,CM,FD,CS
Liam Henry,6.2,2.8,2.2,1,0.8,0.6,0,0.6,0.5,0.4,9,5.5,3.5,1.8,0.4,0.6,0.7,4.4,5.1,0.4,0.2,2
Tanner Bruhn,4.5,3.8,1.4,2.6,0.6,0.4,0,0.4,0.4,0.4,8.3,6.3,2,1.7,0.5,0.7,0.5,4,4.3,0,0.3,1.1
Sam Mayes,3.9,3.9,1.9,2.2,0.2,0.2,0,0.6,0.3,0.1,7.8,5.1,2.7,1,0.2,0.6,0.2,3,4.7,0.6,0,1.8
Kyle Hartigan,5.6,5,3.5,0.8,0.8,1.5,0.1,0,0,0.1,10.6,8.3,2.3,0.4,2.3,0.2,5.1,4.1,6.4,0.6,-0.7,2.6
Dylan Stephens,4.8,4.8,3.3,1.3,0.2,1.3,0,0.2,0.2,0,9.7,7,2.7,1,0.8,0.2,0.3,2.2,7.7,0,-1.2,2.7
Alex Pearce,5.6,4,2.7,1,1.2,0.5,0.1,0,0.1,0.2,9.6,7.4,2.2,0.7,2.5,0.4,5,4.7,4.9,0.4,0.7,2
Caleb Graham,4.3,2.8,3.5,0.7,0.3,0.8,6.8,0,0.1,0,7.1,5.7,1.4,0.3,0.8,0.9,5.1,2.7,4.8,0.3,-0.6,2.1
Bailey J. Williams,3.8,2,2.3,1.3,0.2,1.2,8.3,0.5,0.5,0.2,5.8,3.8,2,1,0.5,0.2,1.2,3.5,3,1.3,-1,2
Hugo Ralphsmith,5.4,4.4,1.4,1,0.2,0.4,0,0.6,0.4,0,9.8,6.6,3.2,1.6,0.8,0,1.4,2.4,7.2,0,-0.2,1.6
Connor Downie,6,6,2,0,0,0,0,0,0,0,12,12,0,1,2,0,0,1,11,0,0,0
Darragh Joyce,7.2,2.2,2.6,0.8,0.4,0.8,0.8,0,0,0,9.4,6.6,2.8,0.4,2.4,0,3.8,3,6,0,-0.4,2.2
Callum M. Brown,4,2,2,1,0,1,0,2,0,0,6,6,0,2,0,0,0,4,2,1,-1,1
Tristan Xerri,3.3,4.3,1.8,2.1,0.5,2,7.4,0.1,0.3,0.1,7.5,4.5,3,1.1,0,0.8,1.9,5.3,2.8,0.5,-1.5,3.8
Joel Smith,4,3.5,3.5,1.5,0.5,0.5,0,0,0,0,7.5,5,2.5,0,2,0,4.5,4.5,5,0,0,2.5
Martin Frederick,4.1,5.3,2.1,1.3,0.6,0.6,0,0.1,0,0.3,9.4,8,1.4,1.1,0.8,0.4,0.8,3.3,6.3,0.3,0,1.1
Luke Pedlar,7,2.5,2,0.5,0.5,0.5,0,0,0,0,9.5,5.5,4,2.5,0.5,1.5,0.5,2.5,7,0,0,3
Ben Davis,5,3.8,2.5,0.8,0.8,0.3,0,0,0,0,8.8,6.8,2,0.8,0.5,0,0.8,3.3,5.5,0.3,0.5,0.5
Luke Parks,5,2.5,2,2,0.8,0.8,0,0,0,0,7.5,6,1.5,1.2,1.5,0,3.3,2.8,4.5,0.3,0,2
Joel Hamling,3,7,0,1,3,0,2,0,0,0,10,7,3,0,1,0,7,6,4,0,3,1
Lewis Taylor,6,0,4,1,0,1,0,0,1,0,6,5,1,0,0,0,0,3,5,0,-1,1
Dylan Williams,6,1,1,3,0,1,0,0,0,0,7,4,3,2,0,0,0,2,2,0,-1,1
