Playerÿÿ,Games,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Lloyd, Daniel",16,140,68,63,20,8,,45,8,19,
"OHalloran, Xavier",17,124,42,56,5,3,,22,10,8,
"Daniels, Brent",13,91,22,86,2,4,,35,12,4,
"Buckley, Jack",15,112,68,57,,2,1,34,7,17,
"de Boer, Matt",11,66,34,94,2,2,,40,5,7,
"Hill, Bobby",17,113,33,41,14,12,,48,10,4,
"Flynn, Matt",12,55,46,87,5,2,222,30,16,9,
"Mumford, Shane",14,44,19,98,4,,364,68,27,26,
"Finlayson, Jeremy",13,106,40,35,23,9,24,15,14,11,
"Kennedy, Adam",9,72,35,59,1,1,,20,5,5,
"Reid, Sam",15,64,25,58,4,4,,35,7,15,
"Hogan, Jesse",9,74,57,41,20,9,,11,6,7,
"Davis, Phil",11,64,47,47,,,,16,10,14,
"Coniglio, Stephen",7,61,14,42,1,4,,27,7,3,
"Bruhn, Tanner",13,56,16,45,4,4,,33,8,5,
"Sproule, Zach",10,55,27,31,11,5,14,26,9,15,
"Riccardi, Jake",9,44,24,37,2,1,2,3,2,1,
"Keeffe, Lachlan",8,57,37,22,1,,19,16,4,5,
"Buntine, Matt",8,55,21,23,1,1,,17,6,9,
"Briggs, Kieren",5,23,9,26,2,,85,22,8,6,
"Peatling, James",4,27,15,15,,,,6,4,4,
"Stein, Jake",6,29,20,11,,,,7,2,6,
"Stone, Conor",5,21,8,14,3,1,,7,1,,
"Shipley, Nick",4,8,6,6,,,,2,,1,
"Brown, Callum",2,4,2,2,2,,,1,,1,
,,5202,2175,3494,279,190,744,1435,470,447,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Mitchell, Tom",22,321,98,433,8,5,,105,24,29,
"OMeara, Jaeger",18,232,74,241,5,9,,91,16,31,
"Shiels, Liam",21,244,93,200,5,4,,99,16,31,
"Worpel, James",20,232,54,194,10,8,,82,15,27,
"Hardwick, Blake",20,312,108,106,,2,,41,22,10,
"Scrimshaw, Jack",20,249,127,163,4,2,,29,8,3,
"Phillips, Tom",22,241,93,165,13,5,,47,23,6,
"Howe, Daniel",20,249,109,124,8,5,,40,18,17,
"Wingard, Chad",16,199,58,158,12,11,,61,19,8,
"Frost, Sam",22,194,112,139,,,3,44,7,31,
"Jiath, Changkuoth",16,172,93,152,,2,,26,18,22,
"Moore, Dylan",20,160,76,147,27,11,,58,27,9,
"Impey, Jarman",13,181,70,107,2,,,33,16,4,
"McEvoy, Ben",22,135,111,140,12,8,370,78,28,14,
"Breust, Luke",19,121,47,117,33,11,,62,12,13,
"Morrison, Harry",15,124,67,107,7,2,,34,7,14,
"OBrien, Tim",19,147,90,72,12,5,12,32,18,16,
"Burgoyne, Shaun",18,133,46,84,1,1,,31,5,5,
"Hartigan, Kyle",19,106,66,95,,,2,16,15,28,
"Cousins, James",10,101,27,86,2,5,,37,8,6,
"Bramble, Lachlan",10,119,44,64,1,3,,20,7,3,
"Ceglar, Jonathon",12,67,53,113,2,2,249,26,10,16,
"Koschitzke, Jacob",20,98,77,65,27,19,1,37,13,7,
"Lewis, Mitch",14,91,67,51,22,9,29,28,13,10,
