Logan McDonald,SYD,FWD,43.4,521
Finlay Macrae,COL,MID,43.1,522
Tyler Brockman,HAW,FWD,42.9,523
Harrison Jones,ESS,FWD,42.8,524
Sam Berry,ADE,FWD,42.8,525
Charlie Lazzaro,NTH,MID/FWD,42.7,526
Josh Treacy,FRE,FWD,42.7,527
Phil Davis,GWS,DEF,42.6,528
Brodie Kemp,CAR,DEF,42.5,529
Riley Garcia,WBD,FWD,42.4,530
Brandon Zerk-Thatcher,ESS,DEF,42,531
Jamarra Ugle-Hagan,WBD,FWD,42,532
Will Martyn,RIC,MID,42,533
Tom Fullarton,BRL,FWD,41.8,534
Beau McCreery,COL,FWD,41.6,535
Lloyd Meek,FRE,RUC,41.6,536
Anthony Scott,WBD,FWD,41.4,537
Callum Ah Chee,BRL,DEF,41.4,538
Sam Weideman,MEL,FWD,41.2,539
Keidean Coleman,BRL,DEF/FWD,40.9,540
Bailey Banfield,FRE,FWD,40.7,541
Ben McKay,NTH,DEF,40.5,542
Colin O'Riordan,SYD,DEF,40.5,543
James Bell,SYD,FWD,40.4,544
Nick Murray,ADE,DEF,40,545
Harrison Petty,MEL,DEF,39.1,546
Conor Stone,GWS,MID/FWD,39,547
Rory Atkins,GCS,MID,39,548
Tom Wilson,COL,DEF,39,549
Will Hamill,ADE,DEF,38.5,550
Denver Grainger-Barras,HAW,DEF,38.2,551
Connor Blakely,FRE,MID,37.9,552
Liam Henry,FRE,FWD,37.8,553
Tanner Bruhn,GWS,FWD,37.7,554
Sam Mayes,PTA,FWD,37.2,555
Kyle Hartigan,HAW,DEF,37,556
Alex Pearce,FRE,DEF,36.8,557
Dylan Stephens,SYD,MID,36.8,558
Bailey J. Williams,WCE,RUC/FWD,36.3,559
Caleb Graham,GCS,DEF/RUC,36.3,560
Hugo Ralphsmith,RIC,MID/FWD,36.2,561
Connor Downie,HAW,MID,36,562
Darragh Joyce,STK,DEF,35.8,563
Callum M. Brown,GWS,DEF/FWD,35,564
Tristan Xerri,NTH,FWD,34.9,565
Joel Smith,MEL,DEF,34.5,566
Martin Frederick,PTA,DEF,33.8,567
Ben Davis,ADE,DEF/FWD,33,568
Luke Pedlar,ADE,MID/FWD,33,569
Luke Parks,CAR,DEF,32.3,570
Dylan Williams,PTA,FWD,32,571
Joel Hamling,FRE,DEF,32,572
Lewis Taylor,SYD,MID/FWD,32,573
Buku Khamis,WBD,DEF,31,574
Harry Sharp,BRL,MID,31,575
Jack Gunston,HAW,FWD,31,576
Kyron Hayden,NTH,DEF,31,577
Malcolm Rosas,GCS,FWD,31,578
Thomas Berry,BRL,FWD,31,579
Mitchell Hinge,ADE,DEF,30,580
Emerson Jeka,HAW,FWD,29.3,581
Sam De Koning,GEE,DEF/FWD,29,582
Joel Jeffrey,GCS,FWD,28.5,583
Charlie Comben,NTH,RUC/FWD,28,584
Finn Maginness,HAW,MID/FWD,28,585
Maurice Rioli,RIC,MID/FWD,27,586
Francis Evans,GEE,FWD,26.5,587
Isiah Winder,WCE,MID/FWD,26,588
Sam Sturt,FRE,FWD,26,589
Joel Western,FRE,MID,25.3,590
Ryan Gardner,WBD,DEF,25,591
Corey Durdin,CAR,FWD,24.5,592
Ben Miller,RIC,DEF,23,593
Jake Stein,GWS,DEF,22.5,594
Josh Morris,HAW,FWD,21.5,595
Phoenix Spicer,NTH,FWD,21,596
Will Kelly,COL,DEF/FWD,21,597
Josh Worrell,ADE,DEF,16,598
Ben Ronke,SYD,FWD,15,599
Ryan Clarke,SYD,DEF/MID,15,600
Rhylee West,WBD,FWD,14.5,601
Kade Chandler,MEL,FWD,11,602
Jed McEntee,PTA,MID/FWD,2,603
Aiden Begg,COL,RUC,0,604
Alastair Lord,ESS,DEF,0,605
Alex Mirkov,CAR,RUC,0,606
