Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
MEL,"Salem, Christian",DEF,405,145,203,3,2,0,58,14,18,
MEL,"Langdon, Ed",MID,315,130,209,13,9,0,45,15,8,
MEL,"Gawn, Max",RUC,316,131,147,16,17,804,71,33,34,
MEL,"Brayshaw, Angus",MID,274,105,186,3,7,0,61,12,19,
MEL,"Neal-Bullen, Alex",FWD,255,80,153,15,11,0,111,30,19,
MEL,"May, Steven",DEF,339,125,61,0,2,0,24,14,17,
MEL,"Lever, Jake",DEF,242,136,147,0,1,0,44,23,23,
MEL,"Rivers, Trent",DEF,241,101,137,1,1,0,39,7,14,
MEL,"Harmes, James",MID,152,52,222,7,10,0,94,20,24,
MEL,"Jordon, James",MID,178,64,185,6,6,0,97,18,9,
MEL,"Viney, Jack",MID,162,37,173,4,7,0,106,30,18,
MEL,"McDonald, Tom",FWD,217,122,105,33,22,30,51,22,26,
MEL,"Jackson, Luke",RUC,107,72,201,16,9,255,48,24,11,
MEL,"Pickett, Kysaiah",FWD,193,59,103,40,28,0,87,20,21,
MEL,"Spargo, Charlie",FWD,195,84,92,18,16,0,59,26,16,
MEL,"Hunt, Jayden",DEF,179,64,95,2,3,0,49,16,19,
MEL,"Fritsch, Bayley",FWD,190,116,54,59,24,0,47,18,21,
MEL,"Hibberd, Michael",DEF,127,58,100,0,0,0,35,16,10,
MEL,"Sparrow, Tom",FWD,102,40,84,7,4,0,57,13,15,
MEL,"Petty, Harry",DEF,107,68,54,0,0,0,31,11,17,
MEL,"Brown, Ben",FWD,102,69,24,25,13,13,20,11,6,
MEL,"Bowey, Jake",DEF,61,23,58,0,0,0,5,1,7,
MEL,"Melksham, Jake",FWD,58,25,49,8,4,0,18,3,10,
MEL,"Tomlinson, Adam",DEF,61,38,23,0,0,0,9,2,6,
MEL,"Weideman, Sam",FWD,19,16,21,3,4,1,9,3,1,
MEL,"Baker, Oskar",MID,12,5,3,0,0,0,4,0,0,
MEL,"Chandler, Kade",FWD,1,0,3,0,0,0,2,0,2,
NM,"Simpkin, Jy",MID,325,96,267,2,5,0,84,34,28,
NM,"Hall, Aaron",DEF,423,150,135,2,6,0,45,8,4,
NM,"Ziebell, Jack",DEF,426,155,104,2,0,0,40,17,14,
NM,"Davies-Uniacke, Luke",MID,229,97,211,6,12,0,64,11,27,
NM,"Cunnington, Ben",MID,203,62,199,9,8,0,74,30,31,
NM,"Thomas, Tarryn",FWD,233,96,149,24,17,0,72,29,19,
NM,"Stephenson, Jaidyn",FWD,249,109,119,17,19,0,48,16,10,
NM,"Goldstein, Todd",RUC,160,80,154,12,4,655,42,35,25,
NM,"Turner, Kayne",DEF,134,69,126,2,4,0,59,35,15,
NM,"Walker, Josh",DEF,153,114,103,3,1,15,22,10,9,
NM,"Dumont, Trent",MID,168,75,82,0,0,0,26,5,6,
NM,"Taylor, Curtis",FWD,154,79,96,7,5,0,40,13,13,
NM,"Zurhaar, Cameron",FWD,163,75,72,31,23,0,58,19,27,
NM,"Mahony, Jack",FWD,116,53,104,9,4,0,61,14,13,
NM,"Powell, Tom",FWD,107,47,110,4,2,0,48,7,7,
NM,"Scott, Bailey",FWD,111,52,106,8,5,0,32,5,7,
NM,"Larkey, Nick",FWD,123,84,87,42,15,30,27,32,12,
NM,"McKay, Ben",DEF,99,95,111,0,0,0,31,14,17,
NM,"McDonald, Luke",DEF,114,57,75,0,2,0,28,2,10,
NM,"Young, Lachie",DEF,108,58,60,0,2,0,23,13,16,
NM,"Phillips, Will",FWD,71,31,81,3,4,0,33,7,5,
NM,"Tarrant, Robbie",DEF,104,67,41,0,0,0,10,7,14,
NM,"Anderson, Jed",FWD,65,22,67,4,1,0,40,5,9,
NM,"Bonar, Aiden",DEF,72,36,35,0,0,0,16,4,8,
NM,"Polec, Jared",MID,48,17,15,0,2,0,10,3,5,
